Sentence #,Word,Pos
Sentence: 0,পূৰ্ব্বতে,ADJ
,এই,PR
,সংসাৰ-মণ্ডলত,N
,একোৱেই,ADV
,নাছিল,V
,।,।
Sentence: 1,এই,PR
,জগতৰ,N
,ভোজনেচ্ছা-ৰূপ,ADJ
,মৃত্যুৰ,N
,দ্বাৰা,PREP
,আবৃত,N
,আছিল,V
,।,।
Sentence: 2,কাৰণ,CON
,বুভুক্ষাই,N
,মৃত্যু,N
,চৰিত্ৰসমূহ,ADJ
,কমল,N
,কাব্যপ্ৰেমী,N
,ৰোমাণ্টিক,ADJ
,নলিনী,N
,ব্যৱসায়ী,N
,।,।
Sentence: 3,ধীৰেন,N
,বিপ্লৱী,ADJ
,যুৱক,N
,।,।
Sentence: 4,নবীন,N
,অভ্যষ্ট,ADJ
,সুৰাপায়ী,N
,নাৰী,N
,একাধাৰে,N
,প্ৰেয়সী,N
,অণিমা,N
,পত্নী,N
,নীলিমা,N
,ধীৰেনৰ,N
,মাক,N
,আৰু,CON
,গণিকা,N
,গণিকা,N
,নাটকৰ,N
,দৃশ্যপট,ADJ
,গুৱাহাটীৰ,N
,নৰ্থ ব্ৰুক,N
,তোৰণ,N
,।,।
Sentence: 5,সেই,PR
,তোৰণৰ,N
,আৰ্হিত,N
,মঞ্চত,N
,দৃশ্যসজ্জা,ADJ
,কৰি,V
,লʼব,V
,পাৰি,V
,।,।
Sentence: 6,গুৱাহাটীৰ,N
,শুক্লেশ্বৰ,N
,ঘাটৰ,N
,নৰ্থ,N
,ব্ৰুক,N
,গেটৰ,N
,পাঁচটা,ADJ
,তোৰণৰ,N
,তলত,PREP
,বিভিন্ন,ADJ
,উচ্চতাৰে,ADJ
,পশ্চিমৰপৰা,N
,ক্ৰমে,ADV
,প্ৰথম,ADJ
,",",","
,দ্বিতীয়,ADJ
,",",","
,মধ্যম,ADJ
,",",","
,আৰু,CON
,চতুৰ্থ,ADJ
,এই,PR
,পাঁচখন,ADJ
,প্লেটফৰ্ম,N
,মঞ্চৰূপে,N
,ব্যৱহাৰ,N
,কৰা,V
,হৈছে,V
Sentence: 7,তাৰ,PR
,উপৰি,CON
,প্ৰত্যেকখন,ADJ
,প্লেটফৰ্মৰপৰা,N
,তোৰণৰ,N
,ভিতৰলৈ,PREP
,নামি,V
,যাব,V
,পৰা,PREP
,খট্‌খটি,N
,আছে,V
Sentence: 8,নাটক,N
,আৰম্ভ,N
,হোৱাৰ,V
,পাঁচ-দহ,ADJ
,মিনিট,N
,আগতে,PREP
,দৰ্শকৰ,N
,মাজত,PREP
,নাট্যদলৰ,N
,কেইডজনমান,PR
,লʼৰা-ছোৱালী,N
,বিভিন্ন,ADJ
,ঠাইত,N
,বহি,V
,পৰে,V
,আৰু,CON
,নিজৰ নিজৰ,ADV
,কাষৰ,N
,দৰ্শকক,N
,অতি,ADJ
,স্বাভাৱিকভাৱে,ADV
,এই,PR
,খবৰটো,N
,দিয়ে,V
,কালি,PR
,ৰাতি,N
,মেডিকেল,N
,কলেজৰ,N
,মৰ্গৰপৰা,N
,আচল,N
,অভিনয়,N
,আৰম্ভ,N
,হোৱাৰ,V
,আগে আগে,ADV
,মুঠতে,ADV
,দৰ্শকৰ,N
,মাজত,PREP
,মেডিকেল,N
,কলেজৰ,N
,মৰ্গৰপৰা,N
,এজনী,ADJ
,তিৰোতা,N
,মানুহৰ,N
,মৰা,ADJ
,শ,N
,নোহোৱা,V
,হোৱা,V
,খবৰ,N
,এটা,ADJ
,যিমান,ADV
,পাৰি,V
,প্ৰচাৰ,N
,হৈ,V
,পৰিব,V
,লাগে,V
,।,।
Sentence: 9,দৰ্শকৰ,N
,মাজত,PREP
,কিবাকিবি,PR
,খাই,V
,থকা,V
,অৱস্থা,N
,আৰু,CON
,মৰা,ADJ
,শৰ,N
,খবৰটো,N
,অৱলীলাক্ৰমে,ADV
,প্ৰচাৰ,N
,হৈ,V
,পৰাৰ,PREP
,পিছত,ADJ
,নাটক,N
,আৰম্ভ,N
,হয়,V
,।,।
Sentence: 10,প্ৰথমে,ADV
,নবীন,N
,প্ৰথম,ADJ
,মঞ্চলৈ,N
,ভিতৰৰপৰা,N
,কিবা,ADJ
,এটা,ADJ
,খাই খাই,ADV
,উঠি,V
,আহে,V
,দ্বিতীয়,ADJ
,মঞ্চ,N
,অতিক্ৰম,N
,কৰি,V
,মধ্যম,ADJ
,মঞ্চলৈ,N
,আহে,V
,মধ্যম,ADJ
,মঞ্চৰ,N
,ভিতৰৰ,N
,পিনে,ADV
,তললৈ,ADJ
,কিবা,ADJ
,এটা,ADJ
,গভীৰভাৱে,ADJ
,অলপ,ADJ
,সময়,N
,চাই,V
,মঞ্চৰ,N
,সমুখলৈ,ADV
,আহে,V
,",",","
,মুখত,N
,সামান্য,ADJ
,বিকৃত,ADJ
,ভাব,N
,প্ৰকাশ,ADJ
,হয়,V
,।,।
Sentence: 11,আগুৱাই,V
,আহি,V
,বহেহি,V
,",",","
,আৰু,CON
,কান্ধৰপৰা,N
,এটা,ADJ
,মোনাত,N
,থকা,V
,কিবাকিবি,PR
,বস্তুৰ,N
,মাজৰপৰা,PREP
,এটা,ADJ
,ডাঙৰ,ADJ
,চিলিম,N
,উলিয়াই,V
,তাত,PR
,ভাং,N
,সংযোগ,N
,কৰাৰ,V
,ব্যৱস্থা,V
,কৰে,V
,।,।
Sentence: 12,তেনেতে,ADV
,তৃতীয়,ADJ
,মঞ্চত,N
,নলিনীয়ে,N
,দেখা,N
,দিয়ে,N
Sentence: 13,নলিনীৰ,N
,হাতত,N
,এটা,ADJ
,কʼলা,ADJ
,বিজনেছ,N
,বেগ,N
,।,।
Sentence: 14,তেওঁ,PR
,মধ্যম,ADJ
,মঞ্চলৈ,N
,আহি,V
,নবীনৰ,N
,দৰে,ADV
,মঞ্চৰ,N
,ভিতৰলৈ,PREP
,",",","
,তললৈ,ADJ
,কিবা,ADJ
,চায়,V
,আৰু,CON
,দৰ্শকৰ,N
,পিনে,ADV
,আগুৱাই,V
,আহি,V
,কিবা,ADJ
,এটা,ADJ
,ঘৃণা,N
,ভাবত,N
,থুই,N
,পেলায়,V
,।,।
Sentence: 15,মঞ্চৰ,N
,একাষত,ADJ
,বহি,V
,চামৰাৰ,N
,বেগৰপৰা,N
,কিছুমান,ADJ
,কাগজ-পত্ৰ,N
,উলিয়াই,V
,পঢ়িবলৈ,V
,ধৰে,V
,।,।
Sentence: 16,তাৰ,PR
,পিছত,ADJ
,দ্বিতীয়,ADJ
,মঞ্চৰ,N
,ভিতৰৰ,N
,পৰা,PREP
,উঠি,V
,আহি,V
,থিয়,ADJ
,হয়,V
,কমল,N
,।,।
Sentence: 17,কিবা,ADJ
,খাই খাই,ADV
,উঠি,V
,আহে,V
,",",","
,হাতত,N
,",",","
,দুখনমান,ADJ
,গ্ৰন্থ,N
,।,।
,তেৱোঁ,PR
,মধ্যম,ADJ
,মঞ্চলৈ,N
,আহি,V
,ভিতৰৰ,N
,পিনে,ADV
,তললৈ,ADJ
,চায়,V
,আৰু,CON
,বিতৃষ্ণাৰ,N
,ভাবেৰে,N
,",",","
,ওকালি,N
,অহাৰ,V
,নিচিনা,ADJ
,দৰ্শকৰ,N
,পিনে,ADV
,আগুৱাই,V
,আহে,V
,নবীন,N
,আৰু,CON
,নলিনীৰ,N
,পাছতে,N
,একাষত,ADJ
,বহে,V
,আৰু,CON
,গ্ৰন্থ,N
,মেলি,V
,লয়,V
,।,।
Sentence: 18,তাৰ,PR
,কমল,N
,:,:
,ধীৰেনে,N
,বমি,N
,কৰাৰ,V
,শব্দ,N
,শুনি,N
,পিছলৈ,ADJ
,ঘূৰি,V
,নোচোৱাকৈয়ে,V
,গ্ৰন্থৰ,N
,পৰা,PREP
,মূৰ,N
,দাঙি,V
,সেইটোৱে,PR
,বতিয়াইছে,V
,।,।
Sentence: 19,নবীন,N
,:,:
,হাতত,N
,চিলিমটো,N
,লৈ,V
,থিয়,ADJ
,হয়,N
,নবতিয়াব,V
,!,!
Sentence: 20,চিলিমত,N
,টান,V
,মাৰে,V
,ব্যোম ব্যোম,ADV
,",",","
,যি,PR
,দুৰ্গন্ধ,ADJ
,উঠিছে,V
,নলিনী,N
,ওৱাক,N
,নবীন,N
,তোৰো,PR
,নেকি,CON
,নলিনী,N
,?,?
Sentence: 21,নলিনী,N
,যি,PR
,দুৰ্গন্ধ,ADJ
,উঠিছে,V
,",",","
,আমি,PR
